N	K	numinstance	budget	fitness
50	0	0	10000	0.663328
50	0	0	100000	0.663328
50	0	0	1000000	0.663328
50	0	1	10000	0.7023480000000001
50	0	1	100000	0.7023480000000001
50	0	1	1000000	0.7023480000000001
50	0	2	10000	0.63758
50	0	2	100000	0.63758
50	0	2	1000000	0.63758
50	0	3	10000	0.704396
50	0	3	100000	0.704396
50	0	3	1000000	0.704396
50	0	4	10000	0.599344
50	0	4	100000	0.599344
50	0	4	1000000	0.599344
50	0	5	10000	0.6465080000000001
50	0	5	100000	0.6465080000000001
50	0	5	1000000	0.6465080000000001
50	0	6	10000	0.62585
50	0	6	100000	0.62585
50	0	6	1000000	0.62585
50	0	7	10000	0.6688299999999999
50	0	7	100000	0.6688299999999999
50	0	7	1000000	0.6688299999999999
50	0	8	10000	0.654822
50	0	8	100000	0.654822
50	0	8	1000000	0.654822
50	0	9	10000	0.670428
50	0	9	100000	0.670428
50	0	9	1000000	0.670428
50	1	0	10000	0.7004859999999999
50	1	0	100000	0.703508
50	1	0	1000000	0.7057420000000001
50	1	1	10000	0.7298319999999999
50	1	1	100000	0.7298319999999999
50	1	1	1000000	0.7298319999999999
50	1	2	10000	0.6477280000000001
50	1	2	100000	0.673318
50	1	2	1000000	0.6785939999999999
50	1	3	10000	0.671448
50	1	3	100000	0.685532
50	1	3	1000000	0.688276
50	1	4	10000	0.699598
50	1	4	100000	0.71429
50	1	4	1000000	0.719228
50	1	5	10000	0.6846760000000001
50	1	5	100000	0.708784
50	1	5	1000000	0.710552
50	1	6	10000	0.675846
50	1	6	100000	0.6774939999999999
50	1	6	1000000	0.684388
50	1	7	10000	0.66223
50	1	7	100000	0.67733
50	1	7	1000000	0.680266
50	1	8	10000	0.686668
50	1	8	100000	0.696892
50	1	8	1000000	0.70028
50	1	9	10000	0.686072
50	1	9	100000	0.686072
50	1	9	1000000	0.686072
50	2	0	10000	0.7496200000000001
50	2	0	100000	0.752404
50	2	0	1000000	0.752404
50	2	1	10000	0.7304080000000001
50	2	1	100000	0.737872
50	2	1	1000000	0.753042
50	2	2	10000	0.7050620000000001
50	2	2	100000	0.72634
50	2	2	1000000	0.7378140000000001
50	2	3	10000	0.7383620000000001
50	2	3	100000	0.7603759999999999
50	2	3	1000000	0.7603759999999999
50	2	4	10000	0.7367159999999999
50	2	4	100000	0.743168
50	2	4	1000000	0.751172
50	2	5	10000	0.701898
50	2	5	100000	0.7289279999999999
50	2	5	1000000	0.73399
50	2	6	10000	0.667732
50	2	6	100000	0.701522
50	2	6	1000000	0.707816
50	2	7	10000	0.734642
50	2	7	100000	0.734642
50	2	7	1000000	0.734642
50	2	8	10000	0.72327
50	2	8	100000	0.74816
50	2	8	1000000	0.74816
50	2	9	10000	0.74473
50	2	9	100000	0.7518940000000001
50	2	9	1000000	0.759808
50	4	0	10000	0.7051999999999999
50	4	0	100000	0.7318819999999999
50	4	0	1000000	0.7545480000000001
50	4	1	10000	0.744354
50	4	1	100000	0.756658
50	4	1	1000000	0.7867839999999999
50	4	2	10000	0.71477
50	4	2	100000	0.7589619999999999
50	4	2	1000000	0.762808
50	4	3	10000	0.7048779999999999
50	4	3	100000	0.75726
50	4	3	1000000	0.7769159999999999
50	4	4	10000	0.731576
50	4	4	100000	0.77209
50	4	4	1000000	0.772146
50	4	5	10000	0.750906
50	4	5	100000	0.750906
50	4	5	1000000	0.769994
50	4	6	10000	0.717244
50	4	6	100000	0.7448779999999999
