N	numinstance	numrun	budget	fitness	comment
100	0	0	10000	6219	numrun=seeds%10
100	0	0	100000	6219	numrun=seeds%10
100	0	1	10000	6192	numrun=seeds%10
100	0	1	100000	6219	numrun=seeds%10
100	0	2	10000	6218	numrun=seeds%10
100	0	2	100000	6219	numrun=seeds%10
100	0	3	10000	6218	numrun=seeds%10
100	0	3	100000	6219	numrun=seeds%10
100	0	4	10000	6210	numrun=seeds%10
100	0	4	100000	6219	numrun=seeds%10
100	0	5	10000	6218	numrun=seeds%10
100	0	5	100000	6219	numrun=seeds%10
100	0	6	10000	6219	numrun=seeds%10
100	0	6	100000	6219	numrun=seeds%10
100	0	7	10000	6200	numrun=seeds%10
100	0	7	100000	6219	numrun=seeds%10
100	0	8	10000	6200	numrun=seeds%10
100	0	8	100000	6219	numrun=seeds%10
100	0	9	10000	6210	numrun=seeds%10
100	0	9	100000	6219	numrun=seeds%10
100	0	0	1000000	6219	only one run (every seed)
100	1	0	10000	3883	numrun=seeds%10
100	1	0	100000	3929	numrun=seeds%10
100	1	1	10000	3919	numrun=seeds%10
100	1	1	100000	3929	numrun=seeds%10
100	1	2	10000	3901	numrun=seeds%10
100	1	2	100000	3926	numrun=seeds%10
100	1	3	10000	3894	numrun=seeds%10
100	1	3	100000	3929	numrun=seeds%10
100	1	4	10000	3892	numrun=seeds%10
100	1	4	100000	3919	numrun=seeds%10
100	1	5	10000	3845	numrun=seeds%10
100	1	5	100000	3906	numrun=seeds%10
100	1	6	10000	3873	numrun=seeds%10
100	1	6	100000	3934	numrun=seeds%10
100	1	7	10000	3781	numrun=seeds%10
100	1	7	100000	3925	numrun=seeds%10
100	1	8	10000	3872	numrun=seeds%10
100	1	8	100000	3915	numrun=seeds%10
100	1	9	10000	3934	numrun=seeds%10
100	1	9	100000	3934	numrun=seeds%10
100	1	0	1000000	3934	only one run (every seed)
100	2	0	10000	5538	numrun=seeds%10
100	2	0	100000	5585	numrun=seeds%10
100	2	1	10000	5587	numrun=seeds%10
100	2	1	100000	5589	numrun=seeds%10
100	2	2	10000	5536	numrun=seeds%10
100	2	2	100000	5589	numrun=seeds%10
100	2	3	10000	5575	numrun=seeds%10
100	2	3	100000	5589	numrun=seeds%10
100	2	4	10000	5587	numrun=seeds%10
100	2	4	100000	5587	numrun=seeds%10
100	2	5	10000	5569	numrun=seeds%10
100	2	5	100000	5589	numrun=seeds%10
100	2	6	10000	5587	numrun=seeds%10
100	2	6	100000	5587	numrun=seeds%10
100	2	7	10000	5584	numrun=seeds%10
100	2	7	100000	5585	numrun=seeds%10
100	2	8	10000	5585	numrun=seeds%10
100	2	8	100000	5587	numrun=seeds%10
100	2	9	10000	5585	numrun=seeds%10
100	2	9	100000	5589	numrun=seeds%10
100	2	0	1000000	5589	only one run (every seed)
100	3	0	10000	6451	numrun=seeds%10
