N	numinstance	numrun	budget	fitness	comment
100	0	0	10000	2087	seed=numrun*10^6
100	0	0	100000	6192	seed=numrun*10^6
100	0	0	1000000	6218	seed=numrun*10^6
100	1	0	10000	1398	seed=numrun*10^6
100	1	0	100000	3854	seed=numrun*10^6
100	1	0	1000000	3926	seed=numrun*10^6
100	2	0	10000	2085	seed=numrun*10^6
100	2	0	100000	5532	seed=numrun*10^6
100	2	0	1000000	5585	seed=numrun*10^6
100	3	0	10000	3570	seed=numrun*10^6
100	3	0	100000	6449	seed=numrun*10^6
100	3	0	1000000	6478	seed=numrun*10^6
100	4	0	10000	3694	seed=numrun*10^6
100	4	0	100000	5253	seed=numrun*10^6
100	4	0	1000000	5298	seed=numrun*10^6
100	5	0	10000	3016	seed=numrun*10^6
100	5	0	100000	4490	seed=numrun*10^6
100	5	0	1000000	4490	seed=numrun*10^6
100	6	0	10000	1486	seed=numrun*10^6
100	6	0	100000	5202	seed=numrun*10^6
100	6	0	1000000	5243	seed=numrun*10^6
100	7	0	10000	4860	seed=numrun*10^6
100	7	0	100000	4999	seed=numrun*10^6
100	7	0	1000000	4999	seed=numrun*10^6
100	8	0	10000	2577	seed=numrun*10^6
100	8	0	100000	5690	seed=numrun*10^6
100	8	0	1000000	5690	seed=numrun*10^6
100	9	0	10000	5014	seed=numrun*10^6
100	9	0	100000	5670	seed=numrun*10^6
100	9	0	1000000	5670	seed=numrun*10^6
100	0	1	10000	4147	seed=numrun*10^6
100	0	1	100000	6194	seed=numrun*10^6
100	1	1	10000	3187	seed=numrun*10^6
100	1	1	100000	3844	seed=numrun*10^6
100	2	1	10000	2420	seed=numrun*10^6
100	2	1	100000	5496	seed=numrun*10^6
100	3	1	10000	2108	seed=numrun*10^6
100	3	1	100000	6478	seed=numrun*10^6
100	4	1	10000	2626	seed=numrun*10^6
100	4	1	100000	5296	seed=numrun*10^6
100	5	1	10000	2059	seed=numrun*10^6
100	5	1	100000	4478	seed=numrun*10^6
100	6	1	10000	3344	seed=numrun*10^6
100	6	1	100000	5223	seed=numrun*10^6
100	7	1	10000	4363	seed=numrun*10^6
100	7	1	100000	4981	seed=numrun*10^6
100	8	1	10000	2027	seed=numrun*10^6
100	8	1	100000	5645	seed=numrun*10^6
100	9	1	10000	1593	seed=numrun*10^6
100	9	1	100000	5670	seed=numrun*10^6
100	0	2	10000	3241	seed=numrun*10^6
100	0	2	100000	6174	seed=numrun*10^6
100	1	2	10000	1815	seed=numrun*10^6
100	1	2	100000	3819	seed=numrun*10^6
100	2	2	10000	2360	seed=numrun*10^6
100	2	2	100000	5584	seed=numrun*10^6
100	3	2	10000	2615	seed=numrun*10^6
100	3	2	100000	6478	seed=numrun*10^6
100	4	2	10000	2433	seed=numrun*10^6
100	4	2	100000	5303	seed=numrun*10^6
100	5	2	10000	1486	seed=numrun*10^6
100	5	2	100000	4467	seed=numrun*10^6
100	6	2	10000	2649	seed=numrun*10^6
100	6	2	100000	5243	seed=numrun*10^6
100	7	2	10000	2535	seed=numrun*10^6
100	7	2	100000	4957	seed=numrun*10^6
100	8	2	10000	3202	seed=numrun*10^6
100	8	2	100000	5634	seed=numrun*10^6
100	9	2	10000	3163	seed=numrun*10^6
100	9	2	100000	5661	seed=numrun*10^6
100	0	3	10000	2876	seed=numrun*10^6
100	0	3	100000	6218	seed=numrun*10^6
100	1	3	10000	3732	seed=numrun*10^6
100	1	3	100000	3844	seed=numrun*10^6
100	2	3	10000	5294	seed=numrun*10^6
100	2	3	100000	5580	seed=numrun*10^6
100	3	3	10000	1698	seed=numrun*10^6
100	3	3	100000	6478	seed=numrun*10^6
100	4	3	10000	3307	seed=numrun*10^6
100	4	3	100000	5296	seed=numrun*10^6
100	5	3	10000	2040	seed=numrun*10^6
100	5	3	100000	4437	seed=numrun*10^6
100	6	3	10000	3612	seed=numrun*10^6
100	6	3	100000	5221	seed=numrun*10^6
100	7	3	10000	4933	seed=numrun*10^6
100	7	3	100000	4990	seed=numrun*10^6
100	8	3	10000	3323	seed=numrun*10^6
100	8	3	100000	5640	seed=numrun*10^6
100	9	3	10000	3223	seed=numrun*10^6
100	9	3	100000	5670	seed=numrun*10^6
100	0	4	10000	4630	seed=numrun*10^6
100	0	4	100000	6200	seed=numrun*10^6
100	1	4	10000	1893	seed=numrun*10^6
100	1	4	100000	3789	seed=numrun*10^6
100	2	4	10000	2882	seed=numrun*10^6
100	2	4	100000	5578	seed=numrun*10^6
100	3	4	10000	3913	seed=numrun*10^6
100	3	4	100000	6451	seed=numrun*10^6
100	4	4	10000	2115	seed=numrun*10^6
100	4	4	100000	5303	seed=numrun*10^6
100	5	4	10000	2019	seed=numrun*10^6
100	5	4	100000	4425	seed=numrun*10^6
100	6	4	10000	2431	seed=numrun*10^6
100	6	4	100000	5243	seed=numrun*10^6
100	7	4	10000	2228	seed=numrun*10^6
100	7	4	100000	4985	seed=numrun*10^6
100	8	4	10000	3503	seed=numrun*10^6
100	8	4	100000	5650	seed=numrun*10^6
100	9	4	10000	3305	seed=numrun*10^6
100	9	4	100000	5670	seed=numrun*10^6
100	0	5	10000	2321	seed=numrun*10^6
100	0	5	100000	6190	seed=numrun*10^6
100	1	5	10000	3773	seed=numrun*10^6
100	1	5	100000	3882	seed=numrun*10^6
100	2	5	10000	5436	seed=numrun*10^6
