N	numinstance	numrun	budget	fitness	comment
100	0	0	10000	4738	seed=numrun*10^6
100	0	0	100000	6219	seed=numrun*10^6
100	0	0	1000000	6219	seed=numrun*10^6
100	1	0	10000	3210	seed=numrun*10^6
100	1	0	100000	3955	seed=numrun*10^6
100	1	0	1000000	3955	seed=numrun*10^6
100	2	0	10000	4847	seed=numrun*10^6
100	2	0	100000	5584	seed=numrun*10^6
100	2	0	1000000	5589	seed=numrun*10^6
100	3	0	10000	6135	seed=numrun*10^6
100	3	0	100000	6478	seed=numrun*10^6
100	3	0	1000000	6478	seed=numrun*10^6
100	4	0	10000	4228	seed=numrun*10^6
100	4	0	100000	5303	seed=numrun*10^6
100	4	0	1000000	5303	seed=numrun*10^6
100	5	0	10000	3235	seed=numrun*10^6
100	5	0	100000	4498	seed=numrun*10^6
100	5	0	1000000	4498	seed=numrun*10^6
100	6	0	10000	4187	seed=numrun*10^6
100	6	0	100000	5235	seed=numrun*10^6
100	6	0	1000000	5243	seed=numrun*10^6
100	7	0	10000	4420	seed=numrun*10^6
100	7	0	100000	4973	seed=numrun*10^6
100	7	0	1000000	5015	seed=numrun*10^6
100	8	0	10000	4920	seed=numrun*10^6
100	8	0	100000	5690	seed=numrun*10^6
100	8	0	1000000	5690	seed=numrun*10^6
100	9	0	10000	4382	seed=numrun*10^6
100	9	0	100000	5670	seed=numrun*10^6
100	9	0	1000000	5670	seed=numrun*10^6
100	0	1	10000	5392	seed=numrun*10^6
100	0	1	100000	6219	seed=numrun*10^6
100	1	1	10000	2599	seed=numrun*10^6
100	1	1	100000	3934	seed=numrun*10^6
100	2	1	10000	4750	seed=numrun*10^6
100	2	1	100000	5589	seed=numrun*10^6
100	3	1	10000	4712	seed=numrun*10^6
100	3	1	100000	6478	seed=numrun*10^6
100	4	1	10000	4107	seed=numrun*10^6
100	4	1	100000	5303	seed=numrun*10^6
100	5	1	10000	3591	seed=numrun*10^6
100	5	1	100000	4498	seed=numrun*10^6
100	6	1	10000	4483	seed=numrun*10^6
100	6	1	100000	5235	seed=numrun*10^6
100	7	1	10000	4130	seed=numrun*10^6
100	7	1	100000	4990	seed=numrun*10^6
100	8	1	10000	5261	seed=numrun*10^6
100	8	1	100000	5690	seed=numrun*10^6
100	9	1	10000	4469	seed=numrun*10^6
100	9	1	100000	5670	seed=numrun*10^6
100	0	2	10000	4975	seed=numrun*10^6
100	0	2	100000	6219	seed=numrun*10^6
100	1	2	10000	3115	seed=numrun*10^6
100	1	2	100000	3934	seed=numrun*10^6
100	2	2	10000	5010	seed=numrun*10^6
100	2	2	100000	5584	seed=numrun*10^6
100	3	2	10000	4898	seed=numrun*10^6
