N	numinstance	numrun	budget	fitness	comment
100	0	0	10000	6210	seed=numrun*10^6
100	0	0	100000	6219	seed=numrun*10^6
100	0	0	1000000	6219	seed=numrun*10^6
100	1	0	10000	3932	seed=numrun*10^6
100	1	0	100000	3955	seed=numrun*10^6
100	1	0	1000000	3955	seed=numrun*10^6
100	2	0	10000	5562	seed=numrun*10^6
100	2	0	100000	5587	seed=numrun*10^6
100	2	0	1000000	5587	seed=numrun*10^6
100	3	0	10000	6478	seed=numrun*10^6
100	3	0	100000	6478	seed=numrun*10^6
100	3	0	1000000	6478	seed=numrun*10^6
100	4	0	10000	5249	seed=numrun*10^6
100	4	0	100000	5253	seed=numrun*10^6
100	4	0	1000000	5253	seed=numrun*10^6
100	5	0	10000	4498	seed=numrun*10^6
100	5	0	100000	4498	seed=numrun*10^6
100	5	0	1000000	4498	seed=numrun*10^6
100	6	0	10000	5243	seed=numrun*10^6
100	6	0	100000	5243	seed=numrun*10^6
100	6	0	1000000	5243	seed=numrun*10^6
100	7	0	10000	5015	seed=numrun*10^6
100	7	0	100000	5015	seed=numrun*10^6
100	7	0	1000000	5015	seed=numrun*10^6
100	8	0	10000	5690	seed=numrun*10^6
100	8	0	100000	5690	seed=numrun*10^6
100	8	0	1000000	5690	seed=numrun*10^6
100	9	0	10000	5670	seed=numrun*10^6
100	9	0	100000	5670	seed=numrun*10^6
100	9	0	1000000	5670	seed=numrun*10^6
100	0	1	10000	6210	seed=numrun*10^6
100	0	1	100000	6219	seed=numrun*10^6
100	1	1	10000	3952	seed=numrun*10^6
100	1	1	100000	3955	seed=numrun*10^6
100	2	1	10000	5547	seed=numrun*10^6
100	2	1	100000	5589	seed=numrun*10^6
100	3	1	10000	6478	seed=numrun*10^6
100	3	1	100000	6478	seed=numrun*10^6
100	4	1	10000	5296	seed=numrun*10^6
100	4	1	100000	5303	seed=numrun*10^6
100	5	1	10000	4498	seed=numrun*10^6
100	5	1	100000	4498	seed=numrun*10^6
100	6	1	10000	5228	seed=numrun*10^6
100	6	1	100000	5243	seed=numrun*10^6
100	7	1	10000	4987	seed=numrun*10^6
100	7	1	100000	4987	seed=numrun*10^6
100	8	1	10000	5690	seed=numrun*10^6
100	8	1	100000	5690	seed=numrun*10^6
100	9	1	10000	5670	seed=numrun*10^6
100	9	1	100000	5670	seed=numrun*10^6
100	0	2	10000	6210	seed=numrun*10^6
100	0	2	100000	6219	seed=numrun*10^6
100	1	2	10000	3901	seed=numrun*10^6
100	1	2	100000	3955	seed=numrun*10^6
100	2	2	10000	5582	seed=numrun*10^6
100	2	2	100000	5587	seed=numrun*10^6
100	3	2	10000	6478	seed=numrun*10^6
100	3	2	100000	6478	seed=numrun*10^6
100	4	2	10000	5249	seed=numrun*10^6
100	4	2	100000	5303	seed=numrun*10^6
100	5	2	10000	4497	seed=numrun*10^6
100	5	2	100000	4498	seed=numrun*10^6
100	6	2	10000	5243	seed=numrun*10^6
100	6	2	100000	5243	seed=numrun*10^6
100	7	2	10000	4990	seed=numrun*10^6
100	7	2	100000	4990	seed=numrun*10^6
100	8	2	10000	5690	seed=numrun*10^6
100	8	2	100000	5690	seed=numrun*10^6
100	9	2	10000	5670	seed=numrun*10^6
100	9	2	100000	5670	seed=numrun*10^6
100	0	3	10000	6210	seed=numrun*10^6
100	0	3	100000	6210	seed=numrun*10^6
100	1	3	10000	3955	seed=numrun*10^6
100	1	3	100000	3955	seed=numrun*10^6
100	2	3	10000	5584	seed=numrun*10^6
100	2	3	100000	5589	seed=numrun*10^6
100	3	3	10000	6478	seed=numrun*10^6
100	3	3	100000	6478	seed=numrun*10^6
