type	N	numinstance	numrun	budget	fitness	comment
uf	50	0	0	10000	218	seed=numrun*10^6
uf	50	0	0	100000	218	seed=numrun*10^6
uf	50	0	0	1000000	218	seed=numrun*10^6
uf	50	1	0	10000	218	seed=numrun*10^6
uf	50	1	0	100000	218	seed=numrun*10^6
uf	50	1	0	1000000	218	seed=numrun*10^6
uf	50	2	0	10000	218	seed=numrun*10^6
uf	50	2	0	100000	218	seed=numrun*10^6
uf	50	2	0	1000000	218	seed=numrun*10^6
uf	50	3	0	10000	218	seed=numrun*10^6
uf	50	3	0	100000	218	seed=numrun*10^6
uf	50	3	0	1000000	218	seed=numrun*10^6
uf	50	4	0	10000	218	seed=numrun*10^6
uf	50	4	0	100000	218	seed=numrun*10^6
uf	50	4	0	1000000	218	seed=numrun*10^6
uf	50	5	0	10000	218	seed=numrun*10^6
uf	50	5	0	100000	218	seed=numrun*10^6
uf	50	5	0	1000000	218	seed=numrun*10^6
uf	50	6	0	10000	218	seed=numrun*10^6
uf	50	6	0	100000	218	seed=numrun*10^6
uf	50	6	0	1000000	218	seed=numrun*10^6
uf	50	7	0	10000	218	seed=numrun*10^6
uf	50	7	0	100000	218	seed=numrun*10^6
uf	50	7	0	1000000	218	seed=numrun*10^6
uf	50	8	0	10000	218	seed=numrun*10^6
uf	50	8	0	100000	218	seed=numrun*10^6
uf	50	8	0	1000000	218	seed=numrun*10^6
uf	50	9	0	10000	218	seed=numrun*10^6
uf	50	9	0	100000	218	seed=numrun*10^6
uf	50	9	0	1000000	218	seed=numrun*10^6
uf	50	0	1	10000	216	seed=numrun*10^6
uf	50	0	1	100000	218	seed=numrun*10^6
uf	50	1	1	10000	216	seed=numrun*10^6
uf	50	1	1	100000	218	seed=numrun*10^6
uf	50	2	1	10000	216	seed=numrun*10^6
uf	50	2	1	100000	218	seed=numrun*10^6
uf	50	3	1	10000	216	seed=numrun*10^6
uf	50	3	1	100000	218	seed=numrun*10^6
uf	50	4	1	10000	216	seed=numrun*10^6
uf	50	4	1	100000	218	seed=numrun*10^6
uf	50	5	1	10000	216	seed=numrun*10^6
uf	50	5	1	100000	218	seed=numrun*10^6
uf	50	6	1	10000	216	seed=numrun*10^6
uf	50	6	1	100000	218	seed=numrun*10^6
uf	50	7	1	10000	216	seed=numrun*10^6
uf	50	7	1	100000	218	seed=numrun*10^6
uf	50	8	1	10000	216	seed=numrun*10^6
uf	50	8	1	100000	218	seed=numrun*10^6
uf	50	9	1	10000	216	seed=numrun*10^6
uf	50	9	1	100000	218	seed=numrun*10^6
uf	50	0	2	10000	218	seed=numrun*10^6
uf	50	0	2	100000	218	seed=numrun*10^6
uf	50	1	2	10000	218	seed=numrun*10^6
uf	50	1	2	100000	218	seed=numrun*10^6
uf	50	2	2	10000	218	seed=numrun*10^6
uf	50	2	2	100000	218	seed=numrun*10^6
uf	50	3	2	10000	218	seed=numrun*10^6
uf	50	3	2	100000	218	seed=numrun*10^6
uf	50	4	2	10000	218	seed=numrun*10^6
uf	50	4	2	100000	218	seed=numrun*10^6
uf	50	5	2	10000	218	seed=numrun*10^6
uf	50	5	2	100000	218	seed=numrun*10^6
uf	50	6	2	10000	218	seed=numrun*10^6
uf	50	6	2	100000	218	seed=numrun*10^6
uf	50	7	2	10000	218	seed=numrun*10^6
