N	numinstance	numrun	fitness	budget
100	0	0	6194	5201
100	0	1	6210	4301
100	0	2	6198	4701
100	0	3	6155	4701
100	0	4	6166	4601
100	0	5	5734	5001
100	0	6	6181	4301
100	0	7	6126	5201
100	0	8	6192	4801
100	0	9	5952	4001
100	0	10	6201	4701
100	0	11	6044	4601
100	0	12	6185	4601
100	0	13	6191	4701
100	0	14	6129	4501
100	0	15	6166	4601
100	0	16	6189	5201
100	0	17	6138	4701
100	0	18	6189	4801
100	0	19	6173	4601
100	0	20	6219	4101
100	0	21	5833	4801
100	0	22	6210	4401
100	0	23	6200	5301
100	0	24	6126	4401
100	0	25	6131	4401
100	0	26	6189	5601
100	0	27	6131	5901
100	0	28	5971	4801
100	0	29	5999	5301
100	0	30	6131	5201
100	0	31	6140	5301
100	0	32	6181	6301
100	0	33	6189	4401
100	0	34	6200	4001
100	0	35	6034	5101
100	0	36	6055	4901
100	0	37	6181	4001
100	0	38	6218	5601
100	0	39	6197	4901
100	0	40	6018	4101
100	0	41	6200	4901
100	0	42	6140	5601
100	0	43	6004	4201
100	0	44	6148	4601
100	0	45	6162	4401
100	0	46	6139	5201
100	0	47	6173	4901
100	0	48	6181	5201
100	0	49	6191	4601
100	0	50	6181	5301
100	0	51	6140	4801
100	0	52	5989	5001
100	0	53	6185	4901
100	0	54	6022	4901
100	0	55	6140	4301
100	0	56	6140	4501
100	0	57	6200	5501
100	0	58	6219	5401
100	0	59	6071	5501
100	0	60	6194	5401
100	0	61	6058	4501
100	0	62	6198	5501
100	0	63	6173	5001
100	0	64	6164	4701
100	0	65	6192	4301
100	0	66	6139	4301
100	0	67	6190	4601
100	0	68	6138	4901
100	0	69	5884	4901
100	0	70	6157	4301
100	0	71	6057	4701
100	0	72	6171	4701
100	0	73	6191	4701
100	0	74	6200	5801
100	0	75	6145	6201
100	0	76	6044	5401
100	0	77	6180	4401
100	0	78	6185	4001
100	0	79	6218	4201
100	0	80	5949	3101
100	0	81	6166	3801
100	0	82	5870	4301
100	0	83	6158	4801
100	0	84	6197	5501
100	0	85	6191	4201
100	0	86	6131	5601
100	0	87	6197	4501
100	0	88	6198	4701
100	0	89	6138	4601
100	0	90	6176	4401
100	0	91	6166	4501
100	0	92	6210	4901
100	0	93	5997	4101
100	0	94	6173	4301
100	0	95	6072	4201
100	0	96	6148	4801
100	0	97	6219	5201
100	0	98	6131	5001
100	0	99	6164	4501
100	0	100	6038	4701
100	0	101	6192	4201
100	0	102	6045	5001
100	0	103	6131	4501
100	0	104	6197	4201
100	0	105	6185	5401
100	0	106	5972	4101
100	0	107	6198	5001
100	0	108	6130	5401
100	0	109	6167	5301
100	0	110	6070	4001
100	0	111	6157	4401
100	0	112	6176	5501
100	0	113	6162	4801
100	0	114	6201	4101
100	0	115	6155	5601
100	0	116	6173	4801
100	0	117	5919	4001
100	0	118	6037	5301
100	0	119	6162	4601
100	0	120	6128	4401
100	0	121	6167	4901
100	0	122	6140	5501
100	0	123	6159	5001
100	0	124	5938	3701
100	0	125	6192	5101
100	0	126	6181	5701
100	0	127	6038	4501
100	0	128	6139	4701
100	0	129	6174	4601
100	0	130	6190	5001
100	0	131	6201	4601
100	0	132	6200	4201
100	0	133	6190	5101
100	0	134	6140	5301
100	0	135	6162	5401
100	0	136	6200	4501
100	0	137	6131	5401
100	0	138	6181	4701
100	0	139	6158	4401
100	0	140	6145	4401
100	0	141	6189	4301
100	0	142	6162	4601
100	0	143	6148	4901
100	0	144	5939	5701
100	0	145	6148	3901
100	0	146	6119	5001
100	0	147	6198	5601
100	0	148	5884	5001
100	0	149	6109	4301
100	0	150	6130	5101
100	0	151	6058	4601
100	0	152	6045	4301
100	0	153	5972	5101
100	0	154	6181	4001
100	0	155	6126	5301
100	0	156	6139	5801
100	0	157	6145	5001
100	0	158	6155	4801
100	0	159	6145	5601
100	0	160	6065	4201
100	0	161	6149	4501
100	0	162	6164	5501
100	0	163	6166	4601
100	0	164	6190	5101
100	0	165	6145	5701
100	0	166	6131	5501
100	0	167	6200	5001
100	0	168	6140	4401
100	0	169	6030	5301
100	0	170	5937	4401
100	0	171	6130	4901
100	0	172	6130	4401
100	0	173	6200	4001
100	0	174	6039	4601
100	0	175	6129	4701
100	0	176	5773	4601
100	0	177	6189	5101
100	0	178	6109	4801
100	0	179	6181	5001
100	0	180	6112	6001
100	0	181	6185	5201
100	0	182	6144	4701
100	0	183	6174	4101
100	0	184	6176	5001
100	0	185	6062	4601
100	0	186	6140	5001
100	0	187	6194	4201
100	0	188	5800	4501
100	0	189	6201	4301
100	0	190	6166	4701
100	0	191	6162	4101
100	0	192	6181	4101
100	0	193	6139	4801
100	0	194	6129	4801
100	0	195	6185	5301
100	0	196	5971	4601
100	0	197	6122	5501
100	0	198	6219	4501
100	0	199	6171	4001
100	0	200	6197	4701
100	0	201	6139	4601
100	0	202	6088	5701
100	0	203	6171	5401
100	0	204	6189	4501
100	0	205	6162	5301
