N	numinstance	numrun	fitness	budget
100	0	0	6122	17101
100	0	1	6192	16101
100	0	2	6190	15301
100	0	3	5997	15501
100	0	4	5983	17801
100	0	5	6192	15901
100	0	6	6139	14201
100	0	7	6140	11801
100	0	8	6200	15201
100	0	9	6180	10401
100	0	10	6190	14901
100	0	11	6190	13401
100	0	12	6048	15501
100	0	13	6167	11801
100	0	14	6167	14401
100	0	15	6155	11601
100	0	16	6158	13701
100	0	17	6190	12801
100	0	18	6145	12801
100	0	19	6034	11601
100	0	20	6218	13501
100	0	21	6139	15601
100	0	22	6173	13401
100	0	23	6167	11601
100	0	24	6171	11601
100	0	25	6176	11001
100	0	26	6192	17901
100	0	27	5956	14701
100	0	28	6174	14501
100	0	29	6138	13801
100	0	30	6145	13201
100	0	31	5997	14901
100	0	32	6145	12601
100	0	33	6218	10001
100	0	34	6109	7801
100	0	35	6192	18001
100	0	36	6164	13801
100	0	37	6158	9401
100	0	38	5781	15901
100	0	39	6197	14101
100	0	40	6189	14701
100	0	41	5745	13901
100	0	42	6191	17201
100	0	43	6125	13001
100	0	44	6192	13201
100	0	45	6185	12901
100	0	46	6155	14501
100	0	47	6210	14101
100	0	48	6190	15301
100	0	49	6201	11601
100	0	50	6180	16601
100	0	51	6173	13401
100	0	52	6148	17501
100	0	53	6174	9701
100	0	54	6022	12701
100	0	55	6173	17301
100	0	56	6139	18801
100	0	57	6138	16601
100	0	58	6167	13701
100	0	59	6200	21801
100	0	60	6180	13601
100	0	61	6139	13401
100	0	62	6164	16001
100	0	63	6181	14101
100	0	64	6185	11901
100	0	65	6112	14001
100	0	66	6167	15501
100	0	67	6164	15901
100	0	68	6155	13201
100	0	69	6125	14501
100	1	0	3668	14801
100	1	1	3733	11401
100	1	2	3558	10401
100	1	3	3715	11801
100	1	4	3804	12301
100	1	5	3854	11801
100	1	6	3766	11601
100	1	7	3848	10701
100	1	8	3777	11301
100	1	9	3776	11201
100	1	10	3737	12301
100	1	11	3761	11301
100	1	12	3686	10501
100	1	13	3811	11401
100	1	14	3883	14101
100	1	15	3836	16101
100	1	16	3836	11101
100	1	17	3668	8201
100	1	18	3786	12201
100	1	19	3687	7901
100	1	20	3786	12801
100	1	21	3759	16601
100	1	22	3765	16801
100	1	23	3847	13901
100	1	24	3692	14401
100	1	25	3714	12301
100	1	26	3593	14801
100	1	27	3516	9201
100	1	28	3757	14801
100	1	29	3573	15201
100	1	30	3844	12701
100	1	31	3841	12101
100	1	32	3474	13701
100	1	33	3828	10501
100	1	34	3736	10001
100	1	35	3780	10801
100	1	36	3644	11301
100	1	37	3725	9601
100	1	38	3657	13401
100	1	39	3536	10201
100	1	40	3544	10301
100	1	41	3689	11801
100	1	42	3647	13401
100	1	43	3662	11301
100	1	44	3868	10501
100	1	45	3701	14001
100	1	46	3863	12901
100	1	47	3859	11801
100	1	48	3700	12001
100	1	49	3852	11101
100	1	50	3594	10201
100	1	51	3616	13601
100	1	52	3848	15301
100	1	53	3731	14201
100	1	54	3723	10901
100	1	55	3341	7201
100	1	56	3863	14001
100	1	57	3763	9001
100	1	58	3716	12201
100	1	59	3793	12401
100	1	60	3825	9801
100	1	61	3655	12601
100	1	62	3744	10201
100	1	63	3832	12201
100	1	64	3423	8801
100	1	65	3641	14901
100	1	66	3672	12201
100	1	67	3438	12001
100	1	68	3786	11101
100	1	69	3901	10301
100	1	70	3681	9701
100	1	71	3609	13701
100	1	72	3383	13501
100	1	73	3595	17701
100	1	74	3545	11701
100	1	75	3926	12001
100	1	76	3521	13001
100	1	77	3650	10501
100	1	78	3525	12101
100	1	79	3660	12301
100	1	80	3660	15201
100	1	81	3813	11301
100	2	0	5532	15401
100	2	1	5307	14801
100	2	2	5351	8401
100	2	3	5519	10001
100	2	4	5482	12701
100	2	5	5360	12601
100	2	6	5455	14101
100	2	7	5440	14501
100	2	8	5389	10601
100	2	9	5485	12001
100	2	10	5558	10601
100	2	11	5575	7801
100	2	12	5498	15001
100	2	13	5284	15201
100	2	14	5474	12301
100	2	15	5369	10301
100	2	16	5418	14101
100	2	17	5468	15201
100	2	18	5519	12101
100	2	19	5342	10301
100	2	20	5519	16801
100	2	21	5536	14301
100	2	22	5348	10501
100	2	23	5432	15501
100	2	24	5381	10101
100	2	25	5582	18001
100	2	26	5521	14001
100	2	27	5481	15601
100	2	28	5361	12801
100	2	29	5519	10201
100	2	30	5423	12201
100	2	31	5548	13901
100	2	32	5578	16801
100	2	33	5584	14101
100	2	34	5368	9501
100	2	35	5575	16901
100	2	36	5451	12401
100	2	37	5385	15501
100	2	38	5519	14801
100	2	39	5498	12701
100	2	40	5474	16701
100	2	41	5483	14601
100	2	42	5471	12201
100	2	43	5436	10401
100	2	44	5352	15701
100	2	45	5504	10801
100	2	46	5503	17001
100	2	47	5304	10501
100	2	48	5497	11801
100	2	49	5448	15701
100	2	50	5582	11001
100	2	51	5356	9301
100	2	52	5532	16401
100	2	53	5519	16701
100	2	54	5350	17401
100	2	55	5532	16701
100	2	56	5400	17601
100	2	57	5476	14101
100	2	58	5368	13801
100	2	59	5567	16701
100	2	60	5448	12301
100	2	61	5479	12501
100	2	62	5293	14201
100	2	63	5300	12301
100	2	64	5448	13901
100	2	65	5425	12701
100	2	66	5278	13001
100	2	67	5455	8901
100	2	68	5585	15501
100	2	69	5425	17201
100	2	70	5291	12801
100	2	71	5560	15601
100	2	72	5480	12701
100	2	73	5448	11301
100	3	0	6445	12801
100	3	1	6416	14101
100	3	2	6154	17201
100	3	3	6449	14001
100	3	4	6449	12701
100	3	5	6445	10901
100	3	6	6449	13901
100	3	7	6416	15001
100	3	8	6265	13101
100	3	9	6366	10801
100	3	10	6059	9801
100	3	11	6416	13201
100	3	12	6449	12801
100	3	13	6280	18101
100	3	14	6445	10501
100	3	15	6400	11401
100	3	16	6451	11601
100	3	17	6422	13401
100	3	18	6369	12001
100	3	19	6451	16601
100	3	20	6369	14101
100	3	21	6230	12801
100	3	22	6478	15301
100	3	23	6449	12401
100	3	24	6176	13501
100	3	25	6451	14001
100	3	26	6350	11201
100	3	27	6451	17301
100	3	28	6265	12901
100	3	29	6422	10701
100	3	30	6445	15401
100	3	31	6451	13101
100	3	32	6445	11801
100	3	33	6400	15601
100	3	34	6445	13801
100	3	35	6416	19701
100	3	36	6451	14501
100	3	37	6416	13501
100	3	38	6369	14801
100	3	39	6449	12601
100	3	40	6369	9501
100	3	41	6478	14201
100	3	42	6451	14001
100	3	43	6400	14201
100	3	44	6358	15601
100	3	45	6343	14601
100	3	46	6369	15101
100	3	47	6478	10801
100	3	48	6416	12101
100	3	49	6418	13501
100	3	50	6418	11701
100	3	51	6449	12301
100	3	52	6369	18501
100	3	53	6422	18801
100	3	54	6449	18101
100	3	55	6369	12701
100	3	56	6449	16801
100	3	57	6361	15101
100	3	58	6451	10201
100	3	59	6445	15801
100	3	60	6422	12601
100	3	61	6400	16601
100	3	62	6478	13601
100	3	63	6342	15001
100	3	64	6451	14201
100	3	65	6418	10901
100	3	66	6445	12201
100	3	67	6449	11501
100	3	68	6445	9401
100	3	69	6451	13301
100	3	70	6343	11501
100	3	71	6334	10901
100	3	72	5991	12101
100	4	0	5249	10901
100	4	1	5185	13001
100	4	2	5206	13901
100	4	3	4901	12101
100	4	4	5253	11901
100	4	5	4764	14701
100	4	6	5214	15901
100	4	7	5214	11701
100	4	8	5148	16301
100	4	9	5133	17601
100	4	10	5202	11901
100	4	11	5043	15801
