N	numinstance	numrun	fitness	budget	comment
100	0	0	6200	13221	numrun=seed
100	0	1	6219	11119	numrun=seed
100	0	2	6219	10067	numrun=seed
100	0	3	6200	11475	numrun=seed
100	0	4	6219	11497	numrun=seed
100	0	5	6200	10717	numrun=seed
100	0	6	6200	11546	numrun=seed
100	0	7	6210	8581	numrun=seed
100	0	8	6210	14121	numrun=seed
100	0	9	6210	10258	numrun=seed
100	0	10	6219	9992	numrun=seed
100	0	11	6210	11353	numrun=seed
100	0	12	6219	10636	numrun=seed
100	0	13	6219	10288	numrun=seed
100	0	14	6210	11390	numrun=seed
100	0	15	6210	11910	numrun=seed
100	0	16	6181	9637	numrun=seed
100	0	17	6219	10412	numrun=seed
100	0	18	6210	11030	numrun=seed
100	0	19	6219	11032	numrun=seed
100	0	20	6210	11117	numrun=seed
100	0	21	6200	12641	numrun=seed
100	0	22	6219	10564	numrun=seed
100	0	23	6189	11949	numrun=seed
100	0	24	6200	11237	numrun=seed
100	0	25	6210	8270	numrun=seed
100	0	26	6219	11267	numrun=seed
100	0	27	6219	8940	numrun=seed
100	0	28	6210	10259	numrun=seed
100	0	29	6210	11012	numrun=seed
100	0	30	6210	9812	numrun=seed
100	0	31	6200	12525	numrun=seed
100	0	32	6200	10597	numrun=seed
100	0	33	6210	8357	numrun=seed
100	0	34	6200	8183	numrun=seed
100	0	35	6219	9836	numrun=seed
100	0	36	6200	12533	numrun=seed
100	0	37	6200	9783	numrun=seed
100	0	38	6200	8801	numrun=seed
100	0	39	6210	11473	numrun=seed
100	0	40	6210	9458	numrun=seed
100	0	41	6210	10047	numrun=seed
100	0	42	6210	10425	numrun=seed
100	0	43	6219	10387	numrun=seed
100	0	44	6210	12146	numrun=seed
100	0	45	6189	9084	numrun=seed
100	0	46	6210	11419	numrun=seed
100	0	47	6219	10878	numrun=seed
100	0	48	6219	9334	numrun=seed
100	0	49	6200	14133	numrun=seed
100	0	50	6200	13799	numrun=seed
100	0	51	6200	9795	numrun=seed
100	0	52	6210	11188	numrun=seed
100	0	53	6210	9195	numrun=seed
100	0	54	6200	12941	numrun=seed
100	0	55	6200	13319	numrun=seed
100	0	56	6200	15193	numrun=seed
100	0	57	6219	11000	numrun=seed
100	0	58	6210	11138	numrun=seed
100	0	59	6219	9552	numrun=seed
100	0	60	6219	11378	numrun=seed
100	0	61	6210	10157	numrun=seed
100	0	62	6219	10179	numrun=seed
100	0	63	6219	8818	numrun=seed
100	0	64	6219	9545	numrun=seed
100	0	65	6210	11531	numrun=seed
100	0	66	6198	11202	numrun=seed
100	0	67	6210	12209	numrun=seed
100	0	68	6219	9934	numrun=seed
100	0	69	6219	9928	numrun=seed
100	0	70	6200	11764	numrun=seed
100	0	71	6219	10115	numrun=seed
100	0	72	6189	13079	numrun=seed
100	0	73	6210	9797	numrun=seed
100	0	74	6200	13576	numrun=seed
100	0	75	6200	13161	numrun=seed
100	0	76	6200	14148	numrun=seed
100	0	77	6219	9747	numrun=seed
100	0	78	6200	13251	numrun=seed
100	0	79	6210	12280	numrun=seed
100	0	80	6189	9169	numrun=seed
100	0	81	6200	9868	numrun=seed
100	0	82	6200	9429	numrun=seed
100	0	83	6198	10298	numrun=seed
100	0	84	6200	11147	numrun=seed
100	0	85	6200	12271	numrun=seed
100	0	86	6210	12758	numrun=seed
100	0	87	6210	11589	numrun=seed
100	0	88	6210	10734	numrun=seed
100	0	89	6219	9132	numrun=seed
100	0	90	6200	12035	numrun=seed
100	1	0	3867	9358	numrun=seed
100	1	1	3919	9587	numrun=seed
100	1	2	3901	10799	numrun=seed
100	1	3	3914	11324	numrun=seed
100	1	4	3823	9545	numrun=seed
100	1	5	3865	11650	numrun=seed
100	1	6	3934	12464	numrun=seed
100	1	7	3926	9319	numrun=seed
100	1	8	3955	9094	numrun=seed
100	1	9	3934	7827	numrun=seed
100	1	10	3955	10742	numrun=seed
100	1	11	3955	10561	numrun=seed
100	1	12	3899	10772	numrun=seed
100	1	13	3818	10239	numrun=seed
100	1	14	3901	11513	numrun=seed
100	1	15	3926	10381	numrun=seed
100	1	16	3902	10065	numrun=seed
100	1	17	3750	10321	numrun=seed
100	1	18	3929	10463	numrun=seed
100	1	19	3902	9399	numrun=seed
100	1	20	3955	12182	numrun=seed
100	1	21	3871	12735	numrun=seed
100	1	22	3914	10952	numrun=seed
100	1	23	3955	9132	numrun=seed
100	1	24	3914	10856	numrun=seed
100	1	25	3899	10642	numrun=seed
100	1	26	3869	10983	numrun=seed
100	1	27	3934	8928	numrun=seed
100	1	28	3858	9572	numrun=seed
100	1	29	3871	11752	numrun=seed
100	1	30	3869	9122	numrun=seed
100	1	31	3955	10435	numrun=seed
100	1	32	3926	8971	numrun=seed
100	1	33	3929	10319	numrun=seed
100	1	34	3906	9592	numrun=seed
100	1	35	3867	11157	numrun=seed
100	1	36	3926	10348	numrun=seed
100	1	37	3929	10602	numrun=seed
100	1	38	3919	9503	numrun=seed
100	1	39	3858	10468	numrun=seed
100	1	40	3901	10584	numrun=seed
100	1	41	3919	9322	numrun=seed
100	1	42	3915	10384	numrun=seed
100	1	43	3929	9703	numrun=seed
100	1	44	3934	10849	numrun=seed
100	1	45	3901	11630	numrun=seed
100	1	46	3902	9989	numrun=seed
100	1	47	3926	10649	numrun=seed
100	1	48	3901	8579	numrun=seed
100	1	49	3818	9859	numrun=seed
100	1	50	3955	10739	numrun=seed
100	1	51	3902	10765	numrun=seed
100	1	52	3934	10619	numrun=seed
100	1	53	3955	11822	numrun=seed
100	1	54	3929	9218	numrun=seed
100	1	55	3929	9284	numrun=seed
100	1	56	3929	9782	numrun=seed
100	1	57	3869	11161	numrun=seed
100	1	58	3872	12178	numrun=seed
100	1	59	3901	12068	numrun=seed
100	1	60	3919	9557	numrun=seed
100	1	61	3929	10393	numrun=seed
100	1	62	3934	10077	numrun=seed
100	1	63	3955	9804	numrun=seed
100	1	64	3934	9456	numrun=seed
100	1	65	3915	11141	numrun=seed
100	1	66	3900	12202	numrun=seed
100	1	67	3901	11261	numrun=seed
100	1	68	3955	9912	numrun=seed
100	1	69	3929	9115	numrun=seed
100	1	70	3934	10325	numrun=seed
100	1	71	3902	9883	numrun=seed
100	1	72	3872	11895	numrun=seed
100	1	73	3826	9422	numrun=seed
100	1	74	3929	10648	numrun=seed
100	1	75	3934	12057	numrun=seed
100	1	76	3929	11349	numrun=seed
100	1	77	3919	8668	numrun=seed
100	1	78	3875	11957	numrun=seed
100	1	79	3929	9071	numrun=seed
100	1	80	3858	10040	numrun=seed
100	1	81	3865	11977	numrun=seed
100	1	82	3901	9750	numrun=seed
100	1	83	3867	10581	numrun=seed
100	1	84	3867	9464	numrun=seed
100	1	85	3926	10551	numrun=seed
100	1	86	3934	10698	numrun=seed
100	1	87	3934	9206	numrun=seed
100	1	88	3929	9458	numrun=seed
100	1	89	3901	9832	numrun=seed
100	1	90	3934	8737	numrun=seed
100	1	91	3934	8875	numrun=seed
100	1	92	3934	12059	numrun=seed
100	1	93	3955	8905	numrun=seed
100	1	94	3872	11356	numrun=seed
100	1	95	3823	10012	numrun=seed
100	2	0	5542	10999	numrun=seed
100	2	1	5542	14383	numrun=seed
100	2	2	5542	11258	numrun=seed
100	2	3	5560	11151	numrun=seed
100	2	4	5542	13629	numrun=seed
100	2	5	5529	11935	numrun=seed
100	2	6	5584	12517	numrun=seed
100	2	7	5558	12462	numrun=seed
100	2	8	5560	11476	numrun=seed
100	2	9	5542	11208	numrun=seed
100	2	10	5542	10661	numrun=seed
100	2	11	5575	11443	numrun=seed
100	2	12	5584	8771	numrun=seed
100	2	13	5542	11970	numrun=seed
100	2	14	5542	10146	numrun=seed
100	2	15	5542	10707	numrun=seed
100	2	16	5560	11458	numrun=seed
100	2	17	5542	10854	numrun=seed
100	2	18	5571	12077	numrun=seed
100	2	19	5571	12226	numrun=seed
100	2	20	5542	11036	numrun=seed
100	2	21	5542	10068	numrun=seed
100	2	22	5575	10844	numrun=seed
100	2	23	5571	12539	numrun=seed
100	2	24	5584	12119	numrun=seed
100	2	25	5575	12058	numrun=seed
100	2	26	5542	12118	numrun=seed
100	2	27	5584	12326	numrun=seed
100	2	28	5584	11462	numrun=seed
100	2	29	5575	12175	numrun=seed
100	2	30	5542	11893	numrun=seed
100	2	31	5542	12260	numrun=seed
100	2	32	5584	10243	numrun=seed
100	2	33	5584	10934	numrun=seed
100	2	34	5584	12709	numrun=seed
100	2	35	5584	11892	numrun=seed
100	2	36	5584	9446	numrun=seed
100	2	37	5560	12564	numrun=seed
100	2	38	5575	11205	numrun=seed
100	2	39	5542	10860	numrun=seed
100	2	40	5560	10479	numrun=seed
100	2	41	5542	10800	numrun=seed
100	2	42	5584	12860	numrun=seed
100	2	43	5542	10058	numrun=seed
100	2	44	5542	10717	numrun=seed
100	2	45	5575	10948	numrun=seed
100	2	46	5584	12558	numrun=seed
100	2	47	5584	11897	numrun=seed
100	2	48	5571	10892	numrun=seed
100	2	49	5584	10834	numrun=seed
100	2	50	5584	8203	numrun=seed
100	2	51	5533	10162	numrun=seed
100	2	52	5560	12026	numrun=seed
100	2	53	5571	10598	numrun=seed
100	2	54	5560	10249	numrun=seed
100	2	55	5542	12037	numrun=seed
100	2	56	5560	10772	numrun=seed
100	2	57	5584	11259	numrun=seed
100	2	58	5560	13543	numrun=seed
100	2	59	5571	13009	numrun=seed
100	2	60	5542	11850	numrun=seed
100	2	61	5584	11815	numrun=seed
100	2	62	5584	10997	numrun=seed
100	2	63	5584	12879	numrun=seed
100	2	64	5584	10217	numrun=seed
100	2	65	5589	12981	numrun=seed
100	2	66	5571	12509	numrun=seed
100	2	67	5542	9055	numrun=seed
100	2	68	5542	11530	numrun=seed
100	2	69	5542	9750	numrun=seed
100	2	70	5575	10938	numrun=seed
100	2	71	5558	11679	numrun=seed
100	2	72	5575	12489	numrun=seed
100	2	73	5575	10315	numrun=seed
100	2	74	5584	11591	numrun=seed
100	2	75	5560	10456	numrun=seed
100	2	76	5571	10905	numrun=seed
100	2	77	5560	10574	numrun=seed
100	2	78	5542	10032	numrun=seed
100	2	79	5584	12757	numrun=seed
100	2	80	5542	9937	numrun=seed
100	2	81	5584	11829	numrun=seed
100	2	82	5575	12120	numrun=seed
100	2	83	5542	8814	numrun=seed
100	2	84	5584	11154	numrun=seed
100	2	85	5542	10237	numrun=seed
100	2	86	5503	11085	numrun=seed
100	2	87	5584	12823	numrun=seed
100	3	0	6478	9271	numrun=seed
100	3	1	6449	11480	numrun=seed
