N	numinstance	numrun	fitness	budget	comment
100	0	0	6194	6089	numrun=seed
100	0	1	6185	5580	numrun=seed
100	0	2	6198	5624	numrun=seed
100	0	3	6174	5363	numrun=seed
100	0	4	6166	5737	numrun=seed
100	0	5	6173	6113	numrun=seed
100	0	6	6181	4960	numrun=seed
100	0	7	6198	5759	numrun=seed
100	0	8	6192	5903	numrun=seed
100	0	9	6070	5118	numrun=seed
100	0	10	6201	5628	numrun=seed
100	0	11	6140	5843	numrun=seed
100	0	12	6185	5560	numrun=seed
100	0	13	6191	5580	numrun=seed
100	0	14	6129	5416	numrun=seed
100	0	15	6166	5537	numrun=seed
100	0	16	6189	6328	numrun=seed
100	0	17	6157	5412	numrun=seed
100	0	18	6189	5787	numrun=seed
100	0	19	6173	5772	numrun=seed
100	0	20	6219	4936	numrun=seed
100	0	21	6200	5977	numrun=seed
100	0	22	6210	5343	numrun=seed
100	0	23	6200	6376	numrun=seed
100	0	24	6126	5144	numrun=seed
100	0	25	6131	5173	numrun=seed
100	0	26	6192	6529	numrun=seed
100	0	27	6131	5895	numrun=seed
100	0	28	6018	6040	numrun=seed
100	0	29	6189	6633	numrun=seed
100	0	30	6198	6764	numrun=seed
100	0	31	6140	6238	numrun=seed
100	0	32	6181	7095	numrun=seed
100	0	33	6189	4804	numrun=seed
100	0	34	6200	4634	numrun=seed
100	0	35	6034	6167	numrun=seed
100	0	36	6062	5906	numrun=seed
100	0	37	6181	4794	numrun=seed
100	0	38	6218	6499	numrun=seed
100	0	39	6197	5791	numrun=seed
100	0	40	6018	4905	numrun=seed
100	0	41	6200	5726	numrun=seed
100	0	42	6200	6704	numrun=seed
100	0	43	6004	5165	numrun=seed
100	0	44	6164	4708	numrun=seed
100	0	45	6162	5494	numrun=seed
100	0	46	6139	6120	numrun=seed
100	0	47	6173	6003	numrun=seed
100	0	48	6185	6533	numrun=seed
100	0	49	6191	5625	numrun=seed
100	0	50	6181	6547	numrun=seed
100	0	51	6200	5476	numrun=seed
100	0	52	6192	6234	numrun=seed
100	0	53	6167	5467	numrun=seed
100	0	54	6194	6278	numrun=seed
100	0	55	6140	5388	numrun=seed
100	0	56	6140	5525	numrun=seed
100	0	57	6200	6556	numrun=seed
100	0	58	6219	6646	numrun=seed
100	0	59	6173	7631	numrun=seed
100	0	60	6194	6550	numrun=seed
100	0	61	6058	5453	numrun=seed
100	0	62	6198	6673	numrun=seed
100	0	63	6173	6165	numrun=seed
100	0	64	6164	5554	numrun=seed
100	0	65	6192	5379	numrun=seed
100	0	66	6129	5314	numrun=seed
100	0	67	6190	5627	numrun=seed
100	0	68	6185	5962	numrun=seed
100	0	69	6002	6435	numrun=seed
100	0	70	6157	5250	numrun=seed
100	0	71	6173	6060	numrun=seed
100	0	72	6171	5630	numrun=seed
100	0	73	6191	5516	numrun=seed
100	0	74	6200	7137	numrun=seed
100	0	75	6171	6884	numrun=seed
100	0	76	6044	6621	numrun=seed
100	0	77	6180	5244	numrun=seed
100	0	78	6055	4762	numrun=seed
100	0	79	6219	5431	numrun=seed
100	0	80	6194	4638	numrun=seed
100	0	81	6166	4438	numrun=seed
100	0	82	5928	5706	numrun=seed
100	0	83	6158	5809	numrun=seed
100	0	84	6197	6498	numrun=seed
100	0	85	6191	5141	numrun=seed
100	0	86	6131	7063	numrun=seed
100	0	87	6197	5281	numrun=seed
100	0	88	6180	5300	numrun=seed
100	0	89	6138	5464	numrun=seed
100	0	90	6200	6100	numrun=seed
100	0	91	6166	5481	numrun=seed
100	0	92	6210	5718	numrun=seed
100	0	93	6218	4791	numrun=seed
100	0	94	6192	4766	numrun=seed
100	0	95	6072	5058	numrun=seed
100	0	96	6148	6001	numrun=seed
100	0	97	6191	6160	numrun=seed
100	0	98	6131	6397	numrun=seed
100	0	99	6164	5336	numrun=seed
100	0	100	6038	5881	numrun=seed
100	0	101	6192	5213	numrun=seed
100	0	102	6045	6081	numrun=seed
100	0	103	6167	6032	numrun=seed
100	0	104	6197	5131	numrun=seed
100	0	105	6192	6697	numrun=seed
100	0	106	6149	5043	numrun=seed
100	0	107	6180	5564	numrun=seed
100	0	108	6130	6665	numrun=seed
100	0	109	6167	6480	numrun=seed
100	0	110	6073	5026	numrun=seed
100	0	111	6157	5730	numrun=seed
100	0	112	6155	5649	numrun=seed
100	0	113	6162	5841	numrun=seed
100	0	114	6201	4926	numrun=seed
100	0	115	6122	6575	numrun=seed
100	0	116	6173	6082	numrun=seed
100	0	117	5919	4816	numrun=seed
100	0	118	6037	6691	numrun=seed
100	0	119	6181	5596	numrun=seed
100	0	120	6128	5286	numrun=seed
100	0	121	6194	5368	numrun=seed
100	0	122	6140	6839	numrun=seed
100	0	123	6219	6025	numrun=seed
100	0	124	6173	4517	numrun=seed
100	0	125	6192	6044	numrun=seed
100	0	126	6164	6844	numrun=seed
100	0	127	6189	4998	numrun=seed
100	0	128	6139	5739	numrun=seed
100	0	129	6174	5796	numrun=seed
100	0	130	6190	5932	numrun=seed
100	0	131	6201	5335	numrun=seed
100	0	132	6200	5214	numrun=seed
100	0	133	6079	5748	numrun=seed
100	0	134	6140	6773	numrun=seed
100	0	135	6162	6554	numrun=seed
100	0	136	6200	5383	numrun=seed
100	0	137	6131	6694	numrun=seed
100	0	138	6181	5911	numrun=seed
100	0	139	6158	5052	numrun=seed
100	0	140	6145	5298	numrun=seed
100	0	141	6189	4803	numrun=seed
100	0	142	6162	4989	numrun=seed
100	0	143	6218	5938	numrun=seed
100	0	144	6051	6881	numrun=seed
100	0	145	6166	4617	numrun=seed
100	0	146	6157	6485	numrun=seed
100	0	147	6219	7025	numrun=seed
100	0	148	6189	6783	numrun=seed
100	0	149	6109	5027	numrun=seed
100	0	150	6130	6013	numrun=seed
100	0	151	6189	5245	numrun=seed
100	0	152	6210	5247	numrun=seed
100	0	153	5972	6163	numrun=seed
100	0	154	6181	4778	numrun=seed
100	0	155	6126	6575	numrun=seed
100	0	156	6125	6663	numrun=seed
100	0	157	5798	4783	numrun=seed
100	0	158	6148	5929	numrun=seed
100	0	159	6164	5776	numrun=seed
100	0	160	6082	5298	numrun=seed
100	0	161	6159	5659	numrun=seed
100	0	162	6035	6000	numrun=seed
100	0	163	6166	5553	numrun=seed
100	0	164	6190	6013	numrun=seed
100	0	165	6109	6368	numrun=seed
100	0	166	6131	6482	numrun=seed
100	0	167	6200	5875	numrun=seed
100	0	168	6140	5164	numrun=seed
100	0	169	6030	6445	numrun=seed
100	0	170	5947	5380	numrun=seed
100	0	171	6149	6195	numrun=seed
100	0	172	6130	5292	numrun=seed
100	1	0	3916	4854	numrun=seed
100	1	1	3804	5173	numrun=seed
100	1	2	3902	5152	numrun=seed
100	1	3	3721	5848	numrun=seed
100	1	4	3426	4551	numrun=seed
100	1	5	3832	5861	numrun=seed
100	1	6	3726	4687	numrun=seed
100	1	7	3882	4677	numrun=seed
100	1	8	3810	4205	numrun=seed
100	1	9	3640	5574	numrun=seed
100	1	10	3720	4581	numrun=seed
100	1	11	3848	6246	numrun=seed
100	1	12	3709	5586	numrun=seed
100	1	13	3882	4480	numrun=seed
100	1	14	3729	5533	numrun=seed
100	1	15	3555	5155	numrun=seed
100	1	16	3902	4119	numrun=seed
100	1	17	3639	5127	numrun=seed
100	1	18	3824	6015	numrun=seed
100	1	19	3789	3964	numrun=seed
100	1	20	3692	5359	numrun=seed
100	1	21	3791	6283	numrun=seed
100	1	22	3879	5932	numrun=seed
100	1	23	3787	5340	numrun=seed
100	1	24	3735	5559	numrun=seed
100	1	25	3883	5078	numrun=seed
100	1	26	3797	6310	numrun=seed
100	1	27	3767	5054	numrun=seed
100	1	28	3844	5945	numrun=seed
100	1	29	3730	5436	numrun=seed
100	1	30	3730	4777	numrun=seed
100	1	31	3863	5172	numrun=seed
100	1	32	3732	6101	numrun=seed
100	1	33	3767	5057	numrun=seed
100	1	34	3689	4149	numrun=seed
100	1	35	3901	4542	numrun=seed
100	1	36	3784	5303	numrun=seed
100	1	37	3916	4328	numrun=seed
100	1	38	3649	5742	numrun=seed
100	1	39	3900	4955	numrun=seed
100	1	40	3906	4157	numrun=seed
100	1	41	3779	5457	numrun=seed
100	1	42	3714	4903	numrun=seed
100	1	43	3606	4032	numrun=seed
100	1	44	3519	4241	numrun=seed
100	1	45	3714	5107	numrun=seed
100	1	46	3809	5592	numrun=seed
100	1	47	3646	4678	numrun=seed
100	1	48	3836	4611	numrun=seed
100	1	49	3845	4221	numrun=seed
100	1	50	3738	4313	numrun=seed
100	1	51	3724	5069	numrun=seed
100	1	52	3813	5929	numrun=seed
100	1	53	3715	5762	numrun=seed
100	1	54	3386	4481	numrun=seed
100	1	55	3843	3666	numrun=seed
100	1	56	3865	5369	numrun=seed
100	1	57	3776	3828	numrun=seed
100	1	58	3786	4828	numrun=seed
100	1	59	3909	4839	numrun=seed
100	1	60	3684	3562	numrun=seed
100	1	61	3837	4831	numrun=seed
100	1	62	3841	4359	numrun=seed
100	1	63	3747	4522	numrun=seed
100	1	64	3692	4218	numrun=seed
100	1	65	3777	5313	numrun=seed
100	1	66	3714	5346	numrun=seed
100	1	67	3594	5159	numrun=seed
100	1	68	3596	4587	numrun=seed
100	1	69	3932	4797	numrun=seed
100	1	70	3867	4656	numrun=seed
100	1	71	3682	5896	numrun=seed
100	1	72	3815	5487	numrun=seed
100	1	73	3681	6965	numrun=seed
100	1	74	3791	5361	numrun=seed
100	1	75	3901	5695	numrun=seed
100	1	76	3756	5376	numrun=seed
100	1	77	3597	3922	numrun=seed
100	1	78	3869	4068	numrun=seed
100	1	79	3672	4852	numrun=seed
100	1	80	3818	5243	numrun=seed
100	1	81	3852	4377	numrun=seed
100	1	82	3450	5182	numrun=seed
100	1	83	3820	4708	numrun=seed
100	1	84	3883	4580	numrun=seed
100	1	85	3906	5741	numrun=seed
100	1	86	3741	4222	numrun=seed
100	1	87	3821	5603	numrun=seed
100	1	88	3753	6131	numrun=seed
100	1	89	3678	3812	numrun=seed
100	1	90	3675	4919	numrun=seed
100	1	91	3427	4063	numrun=seed
100	1	92	3833	4911	numrun=seed
100	1	93	3788	4874	numrun=seed
100	1	94	3712	5138	numrun=seed
100	1	95	3792	4957	numrun=seed
100	1	96	3730	5813	numrun=seed
100	1	97	3763	4964	numrun=seed
100	1	98	3598	3940	numrun=seed
100	1	99	3854	4800	numrun=seed
100	1	100	3850	4535	numrun=seed
100	1	101	3802	6020	numrun=seed
100	1	102	3854	4585	numrun=seed
100	1	103	3764	4597	numrun=seed
100	1	104	3756	5960	numrun=seed
100	1	105	3718	5692	numrun=seed
