N	numinstance	numrun	fitness	budget
100	0	0	6210	7138
100	0	1	6210	6774
100	0	2	6219	5975
100	0	3	6210	6625
100	0	4	6210	6158
100	0	5	6219	7212
100	0	6	6192	6142
100	0	7	6197	6382
100	0	8	6210	6373
100	0	9	6189	6673
100	0	10	6219	6113
100	0	11	6198	5651
100	0	12	6185	6121
100	0	13	6189	6072
100	0	14	6130	5751
100	0	15	6189	6216
100	0	16	6210	6921
100	0	17	6173	5959
100	0	18	6210	5465
100	0	19	6210	6792
100	0	20	6219	5260
100	0	21	6197	6810
100	0	22	6210	5637
100	0	23	6219	6339
100	0	24	6181	6062
100	0	25	6198	5902
100	0	26	6210	7469
100	0	27	6200	7625
100	0	28	6219	6884
100	0	29	6189	7618
100	0	30	6189	7328
100	0	31	6198	6626
100	0	32	6185	7066
100	0	33	6197	4880
100	0	34	6200	4942
100	0	35	6051	6534
100	0	36	6166	6819
100	0	37	6185	6118
100	0	38	6219	6726
100	0	39	6198	6368
100	0	40	6219	5970
100	0	41	6197	7738
100	0	42	6200	7445
100	0	43	6200	6814
100	0	44	6210	6884
100	0	45	6162	6040
100	0	46	6140	6920
100	0	47	6189	7252
100	0	48	6185	7019
100	0	49	6200	6079
100	0	50	6181	7156
100	0	51	6200	6495
100	0	52	6197	7168
100	0	53	6219	6260
100	0	54	6210	6894
100	0	55	6200	6375
100	0	56	6200	6578
100	0	57	6197	6946
100	0	58	6219	7244
100	0	59	6173	7591
100	0	60	6210	7497
100	0	61	6197	6493
100	0	62	6197	7842
100	0	63	6189	7359
100	0	64	6181	6005
100	0	65	6210	6267
100	0	66	6198	5993
100	0	67	6197	6882
100	0	68	6210	6638
100	0	69	6173	7636
100	0	70	6185	6134
100	0	71	6210	7609
100	0	72	6189	6628
100	0	73	6197	6102
100	0	74	6197	8435
100	0	75	6162	7743
100	0	76	6219	7334
100	0	77	6210	6202
100	0	78	6166	6202
100	0	79	6210	6325
100	0	80	6189	4784
100	0	81	6166	4844
100	0	82	5978	6850
100	0	83	6192	6833
100	0	84	6197	7100
100	0	85	6198	5692
100	0	86	6131	7462
100	0	87	6219	5616
100	0	88	6210	6464
100	0	89	6192	5932
100	0	90	6219	6783
100	0	91	6166	6267
100	0	92	6210	6232
100	0	93	6219	5842
100	0	94	6185	5527
100	0	95	6197	6375
100	0	96	6219	8203
100	0	97	6219	7673
100	0	98	6191	7432
100	0	99	6185	5890
100	0	100	6210	7293
100	0	101	6219	6046
100	0	102	6130	7117
100	0	103	6185	6617
100	0	104	6219	5194
100	0	105	6219	6531
100	0	106	6219	5177
100	0	107	6210	6718
100	0	108	6198	7385
100	0	109	6185	7101
100	0	110	6189	6271
100	0	111	6173	6079
100	0	112	6219	6464
100	0	113	6185	7302
100	0	114	6219	5572
100	0	115	6219	7628
100	0	116	6173	6565
100	0	117	5940	5342
100	0	118	6130	7235
100	0	119	6185	6711
100	0	120	6181	5963
100	0	121	6210	6433
100	0	122	6198	7032
100	0	123	6219	5720
100	0	124	6189	5410
100	0	125	6210	6525
100	0	126	6181	7459
100	0	127	6189	6842
100	0	128	6173	6845
100	0	129	6210	6921
100	0	130	6197	6734
100	0	131	6219	5286
100	0	132	6197	6214
100	0	133	6200	6854
100	0	134	6198	7397
100	0	135	6185	7396
100	0	136	6197	5633
100	0	137	6131	7075
100	0	138	6185	7051
100	0	139	6219	5271
100	0	140	6162	5969
100	0	141	6198	5309
100	0	142	6166	5628
100	0	143	6219	7095
100	0	144	6189	7873
100	0	145	6166	5745
100	0	146	6173	7300
100	0	147	6197	7096
100	0	148	6210	7641
100	0	149	6162	5373
100	0	150	6197	7392
100	0	151	6197	6020
100	1	0	3941	5195
100	1	1	3863	6659
100	1	2	3902	5583
100	1	3	3721	6036
100	1	4	3685	5440
100	1	5	3902	6733
100	1	6	3761	4676
100	1	7	3901	5451
100	1	8	3915	6602
100	1	9	3828	5989
100	1	10	3807	4929
100	1	11	3929	6220
100	1	12	3808	7080
100	1	13	3919	5909
100	1	14	3729	6107
100	1	15	3711	7302
100	1	16	3901	5892
100	1	17	3749	4867
100	1	18	3850	6269
100	1	19	3929	5375
100	1	20	3902	6889
100	1	21	3841	7510
100	1	22	3929	6630
100	1	23	3787	5892
100	1	24	3802	6306
100	1	25	3892	6536
100	1	26	3726	5877
100	1	27	3900	6654
100	1	28	3914	5835
